$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
1050,0.0814
1051,0.0814
1052,0.0798
1053,0.0782
1054,0.0782
1055,0.0766
1056,0.0766
1057,0.075
1058,0.0766
1059,0.0734
1060,0.0718
1061,0.0718
1062,0.0702
1063,0.0702
1064,0.0686
1065,0.0686
1066,0.067
1067,0.067
1068,0.067
1069,0.0654
1070,0.0654
1071,0.0638
1072,0.0638
1073,0.0622
1074,0.0622
1075,0.0622
1076,0.0606
1077,0.0606
1078,0.059
1079,0.059
1080,0.059
1081,0.0574
1082,0.0574
1083,0.0574
1084,0.0558
1085,0.0558
1086,0.0558
1087,0.0543
1088,0.0543
1089,0.0543
1090,0.0527
1091,0.0527
1092,0.0527
1093,0.0511
1094,0.0606
1095,0.0511
1096,0.0495
1097,0.0495
1098,0.0495
1099,0.0495
1100,0.0479
1101,0.0479
1102,0.0479
1103,0.0479
1104,0.0463
1105,0.0463
1106,0.0463
1107,0.0463
1108,0.0447
1109,0.0447
1110,0.15
1111,0.3558
1112,0.351
1113,0.3574
1114,0.5505
1115,0.6271
1116,0.6159
1117,0.6223
1118,0.8409
1119,0.8552
1120,1.0164
1121,1.0004
1122,0.9845
1123,0.9669
1124,0.951
1125,0.935
1126,0.9717
1127,0.9558
1128,0.9382
1129,0.9223
1130,0.9111
1131,0.8967
1132,0.8808
1133,0.8664
1134,0.8521
1135,0.8377
1136,0.8249
1137,0.8552
1138,0.8409
1139,0.9095
1140,0.8935
1141,0.8792
1142,0.8648
1143,0.951
1144,0.9462
1145,0.951
1146,0.935
1147,0.9191
1148,0.9031
1149,0.9239
1150,0.9191
1151,0.9286
1152,0.9334
1153,1.0707
1154,1.0579
1155,1.1728
1156,1.1903
1157,1.1823
1158,1.3547
1159,1.3642
1160,1.3882
1161,1.5382
1162,1.6307
1163,1.6929
1164,1.6818
1165,1.8812
1166,1.8509
1167,1.819
1168,1.7887
1169,1.7584
1170,1.8573
1171,1.8254
1172,1.8509
1173,1.8206
1174,1.7903
1175,1.76
1176,1.7296
1177,1.7009
1178,1.6722
1179,1.6451
1180,1.6164
1181,1.6052
1182,1.5892
1183,1.5621
1184,1.5366
1185,1.9498
1186,2.0137
1187,1.9801
1188,1.9466
1189,1.9131
1190,1.8812
1191,1.8493
1192,1.819
1193,1.7887
1194,1.7584
1195,1.7296
1196,1.6993
1197,1.6722
1198,1.6435
1199,1.6164
1200,1.5892
1201,1.5621
1202,1.5366
1203,1.511
1204,1.4855
1205,1.46
1206,1.436
1207,1.4121
1208,1.3882
1209,1.3658
1210,1.3419
1211,1.3196
1212,1.2972
1213,1.2765
1214,1.2557
1215,1.2334
1216,1.2143
1217,1.1935
1218,1.1728
1219,1.1536
1220,1.1345
1221,1.1153
1222,1.0978
1223,1.0786
1224,1.0611
1225,1.0435
1226,1.026
1227,1.0084
1228,0.9925
1229,0.9765
1230,0.959
1231,0.943
