$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
653,0.0063
654,0.0062
655,0.0061
656,0.0061
657,0.006
658,0.0059
659,0.0057
660,0.0056
661,0.0055
662,0.0054
663,0.0054
664,0.0053
665,0.0052
666,0.005
667,0.005
668,0.0049
669,0.0048
670,0.0048
671,0.0047
672,0.0046
673,0.0045
674,0.0045
675,0.0043
676,0.0043
677,0.0042
678,0.0041
679,0.0041
680,0.004
681,0.004
682,0.0039
683,0.0038
684,0.0038
685,0.0036
686,0.0036
687,0.0035
688,0.0035
689,0.0034
690,0.0034
691,0.0033
692,0.0033
693,0.0032
694,0.0032
695,0.003
696,0.003
697,0.003
698,0.0029
699,0.0029
700,0.0028
701,0.0028
702,0.0027
703,0.0027
704,0.0027
705,0.0026
706,0.0026
707,0.0025
708,0.0025
709,0.0025
710,0.0023
711,0.0023
712,0.0023
713,0.0022
714,0.0145
715,0.0142
716,0.014
717,0.0137
718,0.0135
719,0.0132
720,0.013
721,0.0129
722,0.0127
723,0.0124
724,0.0122
725,0.012
726,0.0118
727,0.0116
728,0.0114
729,0.0113
730,0.011
731,0.0108
732,0.0107
733,0.0104
734,0.0103
735,0.0101
736,0.01
737,0.0927
738,0.0585
739,0.0686
740,0.0674
741,0.0664
742,0.0652
743,0.064
744,0.063
745,0.0619
746,0.0608
747,0.0598
748,0.0673
749,0.1456
750,0.8976
751,0.1691
752,0.1662
753,0.1633
754,0.1606
755,0.1578
756,0.1552
757,0.1525
758,0.1499
759,0.1474
760,0.1449
761,0.1424
762,0.14
763,0.1376
764,0.1353
765,0.1329
766,0.1307
767,0.1474
768,0.577
769,0.5082
770,0.2439
771,0.2439
772,0.2396
773,0.2356
774,0.2315
775,0.2277
776,0.2238
777,0.2199
778,0.2162
779,0.2126
780,0.2089
781,0.2054
782,0.2029
783,0.1995
784,0.1961
785,0.2052
786,0.2028
787,0.1993
788,0.1959
789,0.1926
790,0.1893
791,0.1895
792,0.1862
793,0.183
794,0.18
795,0.1807
796,0.1971
797,0.1937
798,0.1904
799,0.1872
800,0.1839
801,0.1809
802,0.1872
803,0.1877
804,0.1854
805,0.2016
806,0.2065
807,0.209
808,0.2054
809,0.2046
810,0.2029
811,0.1995
812,0.1972
813,0.1939
814,0.1906
815,0.1873
816,0.1842
817,0.181
818,0.178
819,0.1749
820,0.172
821,0.1691
822,0.1661
823,0.1633
824,0.1606
825,0.1578
826,0.1551
827,0.1525
828,0.1499
829,0.1474
830,0.1473
831,0.1496
832,0.1538
833,0.1515
834,0.1489
835,0.1464
836,0.1439
837,0.1435
838,0.141
839,0.1387
840,0.1412
841,0.1388
842,0.1366
843,0.1342
844,0.1328
845,0.1399
846,0.1389
847,0.1368
848,0.1346
849,0.1322
850,0.13
851,0.1278
852,0.1257
853,0.1235
854,0.1213
855,0.1193
856,0.1174
857,0.1154
858,0.1134
859,0.1114
860,0.1095
861,0.1076
862,0.1059
863,0.104
864,0.1022
865,0.1005
866,0.0988
867,0.0972
868,0.0954
869,0.0939
870,0.0923
871,0.0907
872,0.0891
873,0.0877
874,0.0862
875,0.0846
876,0.0832
877,0.0818
878,0.0804
879,0.079
880,0.0777
881,0.0764
882,0.0751
883,0.0739
884,0.0726
885,0.0714
886,0.0701
887,0.0689
888,0.0678
889,0.0666
890,0.0655
891,0.0644
892,0.0633
893,0.0623
894,0.0612
895,0.0601
896,0.0591
897,0.058
898,0.0571
899,0.0562
900,0.0552
901,0.0543
902,0.0533
903,0.0524
904,0.0515
905,0.0506
906,0.0498
907,0.0489
908,0.0481
909,0.0472
910,0.0464
911,0.0457
912,0.0449
913,0.0441
914,0.0434
915,0.0427
916,0.042
917,0.0413
918,0.0406
919,0.0399
920,0.0392
921,0.0385
922,0.0379
923,0.0372
924,0.0366
925,0.0359
926,0.0353
927,0.0347
928,0.0341
929,0.0335
930,0.0329
931,0.0324
932,0.0319
933,0.0313
934,0.0308
935,0.0302
936,0.0298
937,0.0292
938,0.0287
939,0.0283
940,0.0278
941,0.0273
942,0.0268
943,0.0264
944,0.0259
945,0.0256
946,0.0251
947,0.0246
948,0.0243
949,0.0238
950,0.0234
951,0.023
952,0.0226
953,0.0223
954,0.0218
955,0.0215
956,0.0211
957,0.0208
958,0.0204
959,0.02
960,0.0197
961,0.0193
962,0.0191
963,0.0188
964,0.0184
965,0.0181
966,0.0178
967,0.0175
968,0.0172
969,0.0169
970,0.0166
971,0.0163
972,0.0161
973,0.0158
974,0.0155
975,0.0152
976,0.015
977,0.0148
978,0.0145
979,0.0142
980,0.014
981,0.0137
982,0.0135
983,0.0132
984,0.013
985,0.0129
986,0.0127
987,0.0124
988,0.0122
989,0.012
990,0.0118
991,0.0116
992,0.0114
993,0.0113
994,0.011
995,0.0108
996,0.0107
997,0.0104
998,0.0103
999,0.0101
1000,0.01
1001,0.0097
1002,0.0096
1003,0.0094
1004,0.0093
1005,0.0091
1006,0.0089
1007,0.0088
1008,0.0087
1009,0.0086
1010,0.0083
1011,0.0082
1012,0.0081
1013,0.008
1014,0.0079
1015,0.0076
1016,0.0075
1017,0.0074
1018,0.0073
1019,0.0072
1020,0.007
1021,0.0069
1022,0.0068
1023,0.0067
1024,0.0066
1025,0.0064
1026,0.0063
1027,0.0062
1028,0.0061
1029,0.0061
1030,0.006
1031,0.0059
1032,0.0057
1033,0.0056
1034,0.0055
1035,0.0055
1036,0.0054
1037,0.0053
1038,0.0052
1039,0.005
1040,0.005
1041,0.0049
1042,0.0048
1043,0.0048
1044,0.0047
1045,0.0046
1046,0.0045
1047,0.0045
1048,0.0043
1049,0.0043
1050,0.0042
1051,0.0041
1052,0.0041
1053,0.004
1054,0.004
1055,0.0039
1056,0.0038
1057,0.0038
1058,0.0036
1059,0.0036
1060,0.0035
1061,0.0035
1062,0.0034
1063,0.0034
1064,0.0033
1065,0.0033
1066,0.0032
1067,0.0032
1068,0.003
1069,0.003
1070,0.003
1071,0.0029
1072,0.0029
1073,0.0028
1074,0.0028
1075,0.0027
1076,0.0027
1077,0.0027
1078,0.0026
1079,0.0026
1080,0.0025
1081,0.0025
1082,0.0025
1083,0.0023
1084,0.0023
1085,0.0023
1086,0.0022
1087,0.0022
1088,0.0022
1089,0.0021
1090,0.0021
1091,0.0021
1092,0.0021
1093,0.002
1094,0.002
1095,0.002
1096,0.0019
1097,0.0019
1098,0.0019
1099,0.0019
1100,0.0018
1101,0.0018
1102,0.0018
1103,0.0018
1104,0.0016
1105,0.0016
1106,0.0016
1107,0.0016
1108,0.0015
1109,0.0015
1110,0.0093
1111,0.0244
1112,0.024
1113,0.0236
